field_season	collection_date	species	sex	weight_grams	plot	measurement_device_calibrated									
2014	1/9/14	DM	M	40	1	y									
2014	1/9/14	DM	F	36	1	y									
2014	3/13/14	DM	F	51	1	y									
2014	3/13/14	DM	F	44	1	y									
2014	3/13/14	DS	F	146	1	y									
2014	1/8/78	DM	F	37	4	y									
2014	1/8/78	DM	M	null	4	y									
2014	1/8/78	DM	F	48	4	y									
2014	1/8/78	DO	M	52	4	y									
2014	1/8/78	OL	M	35	4	y									
2014	1/8/14	null	null	null	2	y									
2014	1/8/14	DM		44	2	y									
2014	1/8/14	PF	F	7	2	y									
2014	1/8/14	DM	M	45	2	y									
2014	1/8/14	OT	null	null	2	y									
2014	1/8/14	DS	M	157	2	n									
2014	1/8/14	OX	null		2	y									
2014	2/18/14	NA	M	218	2	n									
2014	2/18/14	PF	F	7	2	y									
2014	2/18/14	DM	M	52	2	y									
2014	3/11	PF	M	8	3	y									
2014	4/8	null	F	null	3	y									
2014	5/6	null	null	null	3	y									
2014	5/18	null	F	182	3	y									
2014	6/9	OT	F	29	3	y									
2014	7/8	null	F	115	3	y									
2014	7/8	null	M	190	3	y									
2013	7/16/13	DM	F	null	2	y									
2013	7/16/13	DM	M	33	7	y									
2013	7/16/13	DM	M	null	3	y									
2013	7/16/13	DM	M	null	1	y									
2013	7/18/13	DM	M	40	3	y									
2013	7/18/13	DM	M	48	7	y									
2013	7/18/13	DM	F	29	4	y									
2013	7/18/13	DM	F	37	6	y									
2013	8/19/13	DO	F	52	8	y									
2013	10/17/13	DO	F	33	3	y									
2013	10/17/13	DO	F	50	3	y									
2013	12/10/13	DO	F	40	9	y									
2013	12/10/13	DO	M	45	1	y									
2013	12/11/13	DO	F	41	8	y									
2013	11/12/13	DS	F	117	9	y									
2013	11/13/13	DS	F	126	11	y									
2013	11/13/13	DS	M	132	17	n									
2013	11/13/13	DS	F	113	14	n									
2013	11/13/13	DS	F	122	11	y									
2013	11/13/13	DS	F	107	4	y									
2013	11/13/13	DS	F	115	4	y									
